,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
82,139.243235707,0.876883506775,-13.496534343,-0.650720953633,entropy,,,1,50,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",18,-13.0863649809,-0.588733603659,-12.7117538145,-0.627982130596,-13.1363137531,-0.652958766294,-14.3600390151,-0.65652773034,-14.2601455177,-0.685072173642,-13.76065953,-0.631550929436,-13.4360029175,-0.73502470161,-13.2207958386,-0.627917593488,1.63624793952,0.175397249628,0.546836325485,0.0411898400577
83,162.271446645,0.992099016905,-13.5183889062,-0.637787004552,entropy,,,1,50,350,"{'min_samples_leaf': 1, 'n_estimators': 350, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",28,-13.1113387888,-0.578029272215,-12.7117526582,-0.624414405595,-13.2611862618,-0.645822903278,-14.2601455177,-0.65295975753,-14.2851193257,-0.677936393228,-13.7856327598,-0.617278955594,-13.510923185,-0.688639816039,-13.2207975743,-0.617214532938,1.28616698743,0.219890233307,0.522105368354,0.0337016126947
84,135.358710915,0.783248782158,-13.5340051628,-9.99200722163e-16,entropy,,,3,2,250,"{'min_samples_leaf': 3, 'n_estimators': 250, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",38,-13.1113411015,-9.99200722163e-16,-12.6618090894,-9.99200722163e-16,-13.8605674814,-9.99200722163e-16,-14.4849248215,-9.99200722163e-16,-13.6357985845,-9.99200722163e-16,-13.560874848,-9.99200722163e-16,-13.6108230421,-9.99200722163e-16,-13.3457662252,-9.99200722163e-16,1.07304253662,0.159094514586,0.500354400783,0.0
85,161.918541163,0.922335147858,-13.5714689718,-9.99200722163e-16,entropy,,,3,2,300,"{'min_samples_leaf': 3, 'n_estimators': 300, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",61,-13.4110302658,-9.99200722163e-16,-12.6368341251,-9.99200722163e-16,-13.8605651687,-9.99200722163e-16,-14.5348707029,-9.99200722163e-16,-13.8855383985,-9.99200722163e-16,-13.660770658,-9.99200722163e-16,-13.3610843844,-9.99200722163e-16,-13.2208045173,-9.99200722163e-16,0.962491150694,0.135335278006,0.522607953283,0.0
86,189.235515118,1.18116149306,-13.5340044401,-9.99200722163e-16,entropy,,,3,2,350,"{'min_samples_leaf': 3, 'n_estimators': 350, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",37,-13.2611874181,-9.99200722163e-16,-12.6867834755,-9.99200722163e-16,-13.885543602,-9.99200722163e-16,-14.3350773485,-9.99200722163e-16,-13.9354848581,-9.99200722163e-16,-13.5858474996,-9.99200722163e-16,-13.4859522678,-9.99200722163e-16,-13.0958422308,-9.99200722163e-16,1.42896125658,0.264627095841,0.489350815982,0.0
87,132.130035102,0.671857774258,-13.6963516115,-9.99200722163e-16,entropy,,,3,10,250,"{'min_samples_leaf': 3, 'n_estimators': 250, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",105,-13.4110314222,-9.99200722163e-16,-12.9365267585,-9.99200722163e-16,-13.5858509686,-9.99200722163e-16,-14.8595319407,-9.99200722163e-16,-13.6607723925,-9.99200722163e-16,-13.6607729706,-9.99200722163e-16,-13.7606710932,-9.99200722163e-16,-13.6956548416,-9.99200722163e-16,0.959753808074,0.105521343153,0.503834427067,0.0
88,158.537145406,0.86183899641,-13.6651303733,-9.99200722163e-16,entropy,,,3,10,300,"{'min_samples_leaf': 3, 'n_estimators': 300, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",100,-13.5608731135,-9.99200722163e-16,-12.7866839108,-9.99200722163e-16,-13.5608760043,-9.99200722163e-16,-14.7846076261,-9.99200722163e-16,-13.6857450441,-9.99200722163e-16,-13.5359004619,-9.99200722163e-16,-13.6607764396,-9.99200722163e-16,-13.7456385991,-9.99200722163e-16,1.39283834911,0.132236786603,0.508729344713,0.0
89,185.207517028,1.11591055989,-13.665129506,-9.99200722163e-16,entropy,,,3,10,350,"{'min_samples_leaf': 3, 'n_estimators': 350, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",99,-13.5109237631,-9.99200722163e-16,-12.6867857881,-9.99200722163e-16,-13.6108253547,-9.99200722163e-16,-14.9094801348,-9.99200722163e-16,-13.7356897692,-9.99200722163e-16,-13.3610838063,-9.99200722163e-16,-13.6108247766,-9.99200722163e-16,-13.8955892928,-9.99200722163e-16,1.46622805566,0.103163245991,0.579437322891,0.0
90,120.87688303,0.844155132771,-13.5527335257,-0.0664549724184,entropy,,,3,30,250,"{'min_samples_leaf': 3, 'n_estimators': 250, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",49,-13.0364156305,-0.0535214094117,-12.9864697491,-0.0749297418879,-13.2611862618,-0.0749297418879,-14.4349673769,-0.0570898778396,-13.985432474,-0.0713619342844,-13.4360017611,-0.0749304853153,-13.8855372422,-0.0570896300305,-13.3957441968,-0.0677869586897,1.12117594176,0.135012186662,0.47262267574,0.00854416396384
91,144.985291064,1.02307748795,-13.5433681517,-0.0664549366724,entropy,,,3,30,300,"{'min_samples_leaf': 3, 'n_estimators': 300, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",44,-12.9365232895,-0.0570893822214,-12.8366269014,-0.0677937136656,-13.4360046519,-0.0677936310625,-14.3350704106,-0.0570898778396,-14.0353824025,-0.0677938788717,-13.4609767254,-0.0820665961407,-13.8605616997,-0.0606576854432,-13.4457285329,-0.0713547281342,1.12137754792,0.116479395432,0.482860820329,0.00776317524739
