,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,28.8238772154,0.00464615225792,-13.4903110701,-12.8966739432,identity,3,"(10,)",sgd,"{'alpha': 3, 'activation': 'identity', 'solver': 'sgd', 'hidden_layer_sizes': (10,)}",9,-13.8106244907,-12.8879246085,-12.8616180542,-12.9985330046,-13.6358089914,-12.8950589846,-14.3850382621,-12.7344942608,-14.1852454859,-12.8022881396,-12.9115708735,-12.9771214506,-13.2861803054,-12.8308325829,-12.8459361723,-13.0471385137,0.657657151281,0.00223778580659,0.569457929876,0.0994433442954
11,7.66461309791,0.00548550486565,-13.4153842473,-12.9100570921,identity,3,"(10,)",adam,"{'alpha': 3, 'activation': 'identity', 'solver': 'adam', 'hidden_layer_sizes': (10,)}",1,-13.68575892,-12.8486795508,-12.8116750636,-13.041355204,-13.5359108688,-12.8950564239,-14.360067345,-12.802292435,-14.1352990263,-12.816562509,-12.8616226795,-12.9878290862,-13.0364428041,-12.8558138444,-12.8959216655,-13.0328676837,0.877068868781,0.00508798892229,0.568212719645,0.0905946532541
12,7.57256913185,0.00951367616653,-13.6838820816,-12.741470833,identity,3,"(30,)",lbfgs,"{'alpha': 3, 'activation': 'identity', 'solver': 'lbfgs', 'hidden_layer_sizes': (30,)}",51,-14.1852443296,-12.6809808638,-12.9115702954,-12.8094287936,-13.8605819354,-12.8237018413,-14.2851464993,-12.6524331164,-14.4599619986,-12.6452985751,-13.5359230102,-12.7915876079,-13.46100043,-12.7594766787,-12.7709680577,-12.7688591872,0.987264026319,0.00538351592776,0.586035112347,0.0668974039416
13,39.8288579285,0.00433140993118,-13.4934325724,-12.8864162851,identity,3,"(30,)",sgd,"{'alpha': 3, 'activation': 'identity', 'solver': 'sgd', 'hidden_layer_sizes': (30,)}",11,-13.8355977205,-12.8665167716,-12.861617476,-13.0484863586,-13.7856529954,-12.891490764,-14.1602710998,-12.7487667302,-14.2851424522,-12.7666072551,-12.9115685609,-12.9485770073,-13.3611023074,-12.8165606917,-12.7459675002,-13.0043247022,0.568854473583,0.000290160889983,0.568743044569,0.101634275387
14,9.5869897306,0.00793549418449,-13.449725253,-12.9475201116,identity,3,"(30,)",adam,"{'alpha': 3, 'activation': 'identity', 'solver': 'adam', 'hidden_layer_sizes': (30,)}",4,-13.7856529954,-12.9592880296,-12.8616180542,-13.0128087782,-13.5608881457,-12.9485815505,-14.2102216065,-12.8308355566,-14.0104299865,-12.8272667578,-13.1613037496,-13.0306389777,-13.3361290776,-12.9200334726,-12.6709953355,-13.0507077699,1.62549300187,0.00607359254724,0.508192730689,0.0796793017583
15,17.983143121,0.0161585211754,-13.6401735336,-12.7307663332,identity,3,"(100,)",lbfgs,"{'alpha': 3, 'activation': 'identity', 'solver': 'lbfgs', 'hidden_layer_sizes': (100,)}",42,-14.0603735553,-12.6488681999,-12.8116727509,-12.8344060901,-13.9105301295,-12.748771769,-14.2351977271,-12.6131839287,-14.4349876125,-12.6238893339,-13.4110539705,-12.8415406315,-13.4360277784,-12.748772595,-12.8209523937,-12.786698117,2.669505881,0.00994288567028,0.579537491225,0.0856917069156
16,63.0474516749,0.00797745585442,-13.4528471166,-12.8913227536,identity,3,"(100,)",sgd,"{'alpha': 3, 'activation': 'identity', 'solver': 'sgd', 'hidden_layer_sizes': (100,)}",5,-13.6108340271,-12.8415400533,-12.8616186323,-13.0021019686,-13.6857577636,-12.9664212493,-14.1852454859,-12.745199253,-14.2851424522,-12.7808802202,-12.8865964874,-12.9485765117,-13.3361296558,-12.8415372448,-12.770959379,-13.0043255282,3.42851921521,0.00482669618268,0.554188680135,0.0951748280552
17,11.7356278598,0.00858131051064,-13.424746152,-12.9925646024,identity,3,"(100,)",adam,"{'alpha': 3, 'activation': 'identity', 'solver': 'adam', 'hidden_layer_sizes': (100,)}",2,-13.7107309934,-13.0092435313,-13.036435288,-13.0663243228,-13.8355988769,-12.99495958,-13.985446928,-12.8058521475,-14.2851401395,-12.9343083376,-12.8616163197,-13.084164352,-12.9615184894,-12.941444944,-12.7209733072,-13.1042196036,1.15919700364,0.00500369480354,0.557101131397,0.0918220596099
18,2.21947589517,0.00509321689606,-13.6589053658,-12.7494977766,identity,10,"(10,)",lbfgs,"{'alpha': 10, 'activation': 'identity', 'solver': 'lbfgs', 'hidden_layer_sizes': (10,)}",46,-14.1602693653,-12.7023890311,-12.8116733291,-12.7880196351,-13.7856576207,-12.8094287936,-14.2351983052,-12.6881134227,-14.4349870343,-12.6096166993,-13.5109497804,-12.81299561,-13.5608973963,-12.7594763483,-12.7709680577,-12.8259426724,0.11388897946,0.00349939394963,0.585155641814,0.0712434363678
19,17.6366329789,0.00686821341515,-13.5371333145,-13.1254683005,identity,10,"(10,)",sgd,"{'alpha': 10, 'activation': 'identity', 'solver': 'sgd', 'hidden_layer_sizes': (10,)}",23,-13.5858480778,-13.1234092444,-12.7617112591,-13.2340203665,-13.7856466357,-13.116272638,-14.4349783619,-13.0020941214,-14.16026474,-13.0663196144,-13.3860662866,-13.0556124745,-13.1363293634,-13.212610795,-13.0458665734,-13.1934071496,0.693874614014,0.00403394895898,0.534400355475,0.0772022053477
